Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention;obs_clean;remplacement_fusible;remplacement_ampoule;remplacement_driver;remplacement_boite_derivation;remplacement_driver_et_connexions;pose_lanterne_provisoire;separation_phases_cablage;plateau_led_hs;reenclenchement_disjoncteur;reprise_raccordement;refection_connexions;resume_ia
44909283;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE KERGESTIN;Luminaire;P870_1;;476.0;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Plus de luminasur le mât. Prévoir luminaire leds neuf.;0:30;plus de luminasur le mât. prévoir luminaire leds neuf.;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909281;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ALLEE DE PRAT AR ROZ;Luminaire;P1053_1;;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 100w cdo tt et Changement d'amorceur. Essais ok;1:00;changement de lampe 100w cdo tt et changement d'amorceur. essais ok;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909279;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ALLEE DE PRAT AR ROZ;Luminaire;P1056_3;12547.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 70w cdm t 830 et de ballast électronique  70w.Essais ok.;0:30;changement de lampe 70w cdm t 830 et de ballast électronique  70w.essais ok.;non;oui;oui;non;non;non;non;non;non;non;non;remplacement ampoule, remplacement driver
44909277;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ALLEE DE PRAT AR ROZ;Luminaire;P1056_1;12547.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 70w cdm t 830 et de ballast électronique  70w.Essais ok.;0:30;changement de lampe 70w cdm t 830 et de ballast électronique  70w.essais ok.;non;oui;oui;non;non;non;non;non;non;non;non;remplacement ampoule, remplacement driver
44909275;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ALLEE DE PRAT AR ROZ;Luminaire;P1056_4;12547.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe  70w cdm t.Essais ok.;0:30;changement de lampe  70w cdm t.essais ok.;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909273;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;ALLEE DE PRAT AR ROZ;Luminaire;P1056_2;12547.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe  70w cdm t.Essais ok.;0:30;changement de lampe  70w cdm t.essais ok.;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909271;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE ANATOLE FRANCE;Luminaire;E2102_1;12519.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de driver 40w 0,2-0,7A ampdim .Essais ok;1:00;changement de driver 40w 0,2-0,7a ampdim .essais ok;non;non;oui;non;oui;non;non;non;non;non;non;remplacement driver, remplacement driver et connexions
44909269;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE SILGUY;Luminaire;C356_1;;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 70w cdo tt .Essais OK.;1:00;changement de lampe 70w cdo tt .essais ok.;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
44909267;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LA PALESTINE;Luminaire;C383_1;12541.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;RAS le point lumineux leds fonctionne.;0:45;ras le point lumineux leds fonctionne.;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909265;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE SILGUY;Luminaire;C356_1;12539.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;RAS Le point lumineux fonctionne.;0:45;ras le point lumineux fonctionne.;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909263;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LA PROVIDENCE;Luminaire;C230_1;12545.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 150w cdo tt ,de ballast 150w ,d 'amorceur  et de porte fusible. Essais ok;1:30;changement de lampe 150w cdo tt ,de ballast 150w ,d 'amorceur  et de porte fusible. essais ok;oui;oui;oui;non;non;non;non;non;non;non;non;remplacement fusible, remplacement ampoule, remplacement driver
44909261;A valider;;Eclairage public;Curatif Point Lumineux;QUIMPER;RUE DE LA PROVIDENCE;Luminaire;C229_1;12545.0;;;17/11/2025;CITEOS QUIMPER;2025-11-17;CITEOS_EQUIPE 1;Changement de lampe 150 w cdo tt .Essais OK;1:00;changement de lampe 150 w cdo tt .essais ok;non;oui;non;non;non;non;non;non;non;non;non;remplacement ampoule
